model ,source,version,AccTrain,AccVal,AccTest,LossTrain,LossVal,LossTest,avg
nn,8k,2,0.9482,0.9246,0.9335,0.234,0.3912,0.3611,0.935433333333334
nn,8k,1,0.9685,0.9179,0.9083,0.0895,0.331,0.3651,0.931566666666667
lstm,8k,3,0.9635,0.9083,0.9102,0.1032,0.3171,0.3225,0.927333333333333
gru,8k,2,0.9542,0.9133,0.9099,0.1286,0.3097,0.3114,0.9258
cnn,,2,0.9191,0.9158,0.9393,0.2442,0.3301,0.328,0.924733333333334
cnn,8k,2,0.92,0.92,0.9226,0.2303,0.3485,0.2759,0.920866666666667
nn,,1,0.9735,0.8993,0.8787,0.0725,0.3586,0.4484,0.917166666666667
lstm,,3,0.9847,0.8884,0.8636,0.0455,0.5168,0.5444,0.912233333333333
gru,,2,0.9792,0.8827,0.8585,0.0597,0.5745,0.7231,0.9068
lstm,,1,0.9675,0.8671,0.8838,0.1027,0.5403,0.3518,0.906133333333333
lstm,,2,0.9754,0.8767,0.8585,0.0704,0.519,0.6459,0.903533333333333
lstm,8k,2,0.9449,0.8789,0.881,0.1542,0.4126,0.4128,0.9016
gru,,1,0.9598,0.8626,0.8686,0.1205,0.5145,0.4117,0.897
nn,,2,0.9372,0.8974,0.8484,0.3988,0.8027,0.363,0.894333333333333
lstm,8k,1,0.9199,0.8646,0.8708,0.2283,0.4267,0.4036,0.8851
cnn,8k,1,0.8713,0.8747,0.8733,0.365,0.3968,0.3777,0.8731
cnn,,3,0.9133,0.8488,0.8484,0.24,0.5466,0.6034,0.870166666666667
gru,8k,1,0.8903,0.8589,0.8588,0.3183,0.444,0.4294,0.869333333333333
cnn,8k,3,0.8958,0.8524,0.8471,0.3035,0.4647,0.4912,0.8651
cnn,,1,0.8936,0.8368,0.8232,0.298,0.4965,0.4798,0.8512
rnn,,2,0.8486,0.7696,0.7777,0.4368,0.7762,0.804,0.798633333333333
rnn,,1,0.7665,0.6892,0.803,0.6775,0.9443,0.5678,0.7529
rnn,8k,2,0.7721,0.7191,0.7242,0.6601,0.8237,0.816,0.738466666666667
rnn,8k,1,0.6597,0.6183,0.6276,1.0053,1.1113,1.095,0.6352
